customer_id,first_name,last_name,gender,birthdate,address,city,state,zip_code,phone_number,email,occupation,annual_income,account_number,card_number,total_transactions,total_amount_spent,average_transaction_amount,max_transaction_amount,unique_transaction_descriptions,days_since_first_transaction,transaction_frequency,transaction_amount_to_income_ratio,age,risk_score
13,Ladli,Dugar,Female,1975-05-09,"69/92, Brahmbhatt",Ratlam,Tamil Nadu,320243,9607594777,anvi94@example.com,"Clinical scientist, histocompatibility and immunogenetics",354776,GB36PNTL4025549888804,180017285925711,3.0,18373.0,6124.333333333333,7827.0,2.0,310.0,0.0096774193548387,0.0517876068279703,49.0,1
14,Rehaan,Sabharwal,Female,1980-01-10,"581, Chakrabarti Marg",Bhopal,Manipur,14980,3982742737,xdani@example.com,Sub,1298154,GB69FEZP6364195574663,4657603815088308478,4.0,31204.0,7801.0,9684.0,3.0,642.0,0.0062305295950155,0.0240372097609374,45.0,1
15,Rachana,Doctor,Male,1981-05-29,"88
Sangha Zila",Ambala,Bihar,250665,918913642872,mitali57@example.org,Health visitor,953383,GB68GHKS4954975790919,4043771954545262,6.0,28626.0,4771.0,9848.0,5.0,585.0,0.0102564102564102,0.0300257084508534,43.0,2
16,Devansh,Goswami,Female,1995-01-30,"53/451
Puri Street",Jamalpur,West Bengal,212695,1749455571,senbhavani@example.org,"Teacher, special educational needs",805014,GB43YGFB2238607361622,4914687202794,3.0,9708.0,3236.0,4022.0,2.0,245.0,0.0122448979591836,0.0120594176001908,30.0,1
17,Warinder,Bora,Male,2001-11-05,"73/50, Gera Circle",Bikaner,Uttar Pradesh,822759,5823463898,merchantoni@example.org,Retail buyer,562450,GB23GUIT7271632881940,180008227743452,9.0,27093.0,3010.333333333333,8721.0,5.0,641.0,0.0140405616224648,0.0481696150768957,23.0,2
18,Alexander,Merchant,Male,1998-11-08,"37/573, De Path",Hospet,Uttar Pradesh,198785,5976617663,indali86@example.com,Clinical research associate,1851352,GB06TVVD6187784712343,30499313856211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0
19,Andrew,Mody,Male,1994-10-26,"71/63, Kumar Road",Ozhukarai,Kerala,823053,916093837247,kapuranirudh@example.com,Public relations account executive,1796778,GB05TFDU1434605095617,6011342367271533,5.0,38616.0,7723.2,9989.0,5.0,587.0,0.0085178875638841,0.0214918036618881,30.0,2
20,Azaan,Raj,Female,1996-01-05,"571
Grewal Street",Gudivada,Chhattisgarh,155074,493264315,gaurangi42@example.com,Chief Executive Officer,1408933,GB87BQRG5474197889153,344928413804268,3.0,12598.0,4199.333333333333,6137.0,2.0,266.0,0.0112781954887218,0.0089415181559378,29.0,1
21,Ethan,Mistry,Female,1991-02-20,"H.No. 06
Korpal",Tumkur,Karnataka,222669,915383582635,yashawini25@example.com,Electrical engineer,620182,GB11UTLJ4865151749006,4842016836190878066,5.0,32136.0,6427.2,9656.0,4.0,297.0,0.0168350168350168,0.0518170472538706,34.0,2
22,Benjamin,Chand,Male,1976-08-09,"08, Morar Zila",Thoothukudi,Tamil Nadu,128291,6548070571,aarnavtripathi@example.com,Geophysical data processor,346125,GB10IKHP1071241079371,4290524789462345412,5.0,20082.0,4016.4,7804.0,4.0,459.0,0.0108932461873638,0.0580195016251354,48.0,1
23,Yashodhara,Minhas,Male,1976-01-28,"61/72
Raju Ganj",Berhampore,Nagaland,143231,9684537264,janyashetty@example.com,Field trials officer,892158,GB53QGEZ3353583292185,3534265265146512,2.0,5390.0,2695.0,5104.0,2.0,159.0,0.0125786163522012,0.0060415307602465,49.0,1
24,Dayamai,Badami,Male,1986-12-18,"68/54
Vohra Chowk",Hubli–Dharwad,Punjab,634972,8845019119,varshabhandari@example.com,Emergency planning/management officer,1470466,GB85UHWP4822757518663,340066837888866,1.0,7104.0,7104.0,7104.0,1.0,0.0,0.0,0.0048311215628243,38.0,1
25,Finn,Naidu,Male,1980-01-03,"33/472
Sahni Road",Mangalore,Uttarakhand,272496,914486384397,pbanik@example.net,Dietitian,1224031,GB23TKRE6345356903880,570780860419,7.0,25948.0,3706.857142857143,7341.0,5.0,533.0,0.0131332082551594,0.0211988095072755,45.0,2
26,Vansha,Gokhale,Male,1993-11-20,"761
Badal Circle",Panchkula,Chhattisgarh,829683,43300812,sachi81@example.org,Economist,1301732,GB78IJAV5070808546286,180024559457520,1.0,8309.0,8309.0,8309.0,1.0,0.0,0.0,0.0063830342958458,31.0,1
27,Yashodhara,Shankar,Male,1977-02-05,"25/30
Sundaram Path",Kota,Karnataka,938445,917486176109,pranav44@example.com,Arts administrator,1245289,GB69RJBL2560228447483,2294842394385740,2.0,8905.0,4452.5,8654.0,1.0,442.0,0.004524886877828,0.0071509505022528,48.0,1
28,Abhiram,Loyal,Female,1994-12-07,"H.No. 54
Srinivas Marg",Panipat,Himachal Pradesh,624959,721948137,yutika94@example.net,Product/process development scientist,603615,GB94HVJS9312585950580,676247716936,4.0,22519.0,5629.75,9401.0,4.0,368.0,0.0108695652173913,0.0373068926385195,30.0,1
29,Anamika,Nagar,Female,1995-05-02,"741, Chana Chowk",Jalgaon,Uttarakhand,630112,9906256142,zlall@example.org,"Producer, radio",754697,GB94XZDQ6039156138144,4543679129711476,1.0,6123.0,6123.0,6123.0,1.0,0.0,0.0,0.0081131897966998,29.0,1
30,Om,Varughese,Female,1985-05-24,"97, Handa Zila",Mumbai,Telangana,379229,915725005617,netrasaha@example.org,Ergonomist,830131,GB85LEUX5057149500554,4766987485952,2.0,12416.0,6208.0,7328.0,2.0,641.0,0.0031201248049922,0.01495667551266,39.0,1
31,Harita,Zachariah,Male,2002-11-06,"H.No. 619, Rau Zila",Nangloi Jat,Gujarat,553791,913333175636,rajagopalanvyanjana@example.org,"Journalist, newspaper",1969295,GB87SYML7392121632617,4177746292841084,3.0,24027.0,8009.0,8831.0,3.0,497.0,0.0060362173038229,0.0122008129812953,22.0,1
32,David,Date,Female,1980-12-08,"H.No. 07, Randhawa Zila",Bijapur,Mizoram,162760,913648910730,dubedalbir@example.net,"Editor, magazine features",375837,GB74NTZJ3415378847568,36772449515990,3.0,12052.0,4017.3333333333335,7579.0,2.0,296.0,0.0101351351351351,0.0320670929152797,44.0,1
33,Yatin,Palla,Female,1984-07-11,"958
Oommen Street",Latur,Odisha,65312,4744297943,skarnik@example.net,Homeopath,277726,GB52OIQX2575544943254,3517113703285784,3.0,12126.0,4042.0,7048.0,3.0,531.0,0.0056497175141242,0.0436617385480653,40.0,1
34,Dalbir,Devan,Female,1999-11-05,"49/665
Singhal Circle",Bijapur,Odisha,708217,1449875420,surakevin@example.net,Midwife,576173,GB77MJMZ8285936610768,4230439534107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0
35,Dalbir,Sastry,Female,1986-09-14,"H.No. 985, Madan Circle",Danapur,Kerala,838175,9766890485,jagvi74@example.com,Catering manager,897784,GB15WVDA8825432118697,676170608704,3.0,21677.0,7225.666666666667,9402.0,3.0,493.0,0.0060851926977687,0.0241450059257015,38.0,1
36,Brinda,Narain,Female,2002-05-21,"H.No. 96
Uppal Street",Shimoga,Kerala,7825,554559279,max97@example.com,"Scientist, forensic",964429,GB60PMXC3931334203719,6011070322888170,3.0,12237.0,4079.0,6106.0,3.0,330.0,0.009090909090909,0.012688336829357,22.0,1
37,Jacob,Jha,Female,1999-11-28,"435
Upadhyay Nagar",Ratlam,Nagaland,254520,1555318504,pnigam@example.org,Graphic designer,1981549,GB59JXZG5218846814116,30262050836014,1.0,8564.0,8564.0,8564.0,1.0,0.0,0.0,0.0043218714248297,25.0,1
38,Ryan,Anand,Male,1978-03-06,"H.No. 256, Bumb Path",Solapur,Chhattisgarh,460097,9729794813,bainsandrew@example.org,Dealer,1376041,GB08ZNGX1994729028551,2715673321032191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0
39,Chatura,Sundaram,Female,1985-08-20,"986, Jaggi Chowk",Mau,Nagaland,215066,914300059041,yagnesh37@example.net,Drilling engineer,1235939,GB83LSEN9423022562620,180056897471581,5.0,31892.0,6378.4,9958.0,4.0,359.0,0.0139275766016713,0.025803862488359,39.0,2
40,Yatin,Bal,Female,1981-10-27,"05/66, Peri Street",Silchar,West Bengal,208440,1184470790,ethan82@example.org,"Psychologist, occupational",953465,GB12NPMR1849606908805,180041900985702,7.0,28556.0,4079.428571428572,9709.0,4.0,364.0,0.0192307692307692,0.0299497097428851,43.0,2
41,Radha,Peri,Female,1991-05-03,"44, Gill Nagar",Thanjavur,Uttar Pradesh,121739,7577270774,ucchal22@example.net,Operational investment banker,1067186,GB22LECK7282818574656,4826674604104440589,5.0,33474.0,6694.8,9271.0,4.0,523.0,0.0095602294455066,0.0313666033849769,33.0,2
42,Ladli,Reddy,Male,1990-05-05,"H.No. 174, Rajan Marg",Pudukkottai,Karnataka,51066,915200527907,chatreshpandit@example.net,"Engineer, structural",415804,GB65SHKN0346515478040,2704683768571166,8.0,31155.0,3894.375,6311.0,5.0,454.0,0.0176211453744493,0.0749271291281469,34.0,2
43,Lohit,Gupta,Male,1991-09-11,"62/23
Mody Nagar",Chinsurah,Nagaland,158849,2967674382,saipai@example.org,Press sub,1391931,GB51BLAK5823080050796,3552754261521130,7.0,38177.0,5453.857142857143,8832.0,5.0,390.0,0.0179487179487179,0.0274273652932508,33.0,2
44,Zilmil,Sibal,Female,1991-03-25,"16/76, Minhas Ganj",Mango,Tripura,274269,4540974938,vrishti21@example.net,"Teacher, English as a foreign language",1043604,GB70GUIR7151192090141,5226334546182429,5.0,35779.0,7155.8,8304.0,4.0,450.0,0.0111111111111111,0.0342840771020425,33.0,2
45,Nitara,Chawla,Female,1994-09-07,"71
Chada Nagar",Burhanpur,Karnataka,289841,6219942709,ramhredhaan@example.net,Haematologist,1547526,GB05KEYM6859183020964,30227853956863,6.0,33802.0,5633.666666666667,9534.0,6.0,551.0,0.0108892921960072,0.0218426055523461,30.0,2
46,Ekiya,Sami,Male,1987-05-06,"79
Hegde Marg",Raichur,Manipur,678673,8862171593,lissac@example.com,Industrial buyer,523603,GB35HCBW3449543490727,4976850850204,5.0,30335.0,6067.0,8933.0,4.0,639.0,0.0078247261345852,0.057935114963054,37.0,2
47,Zaid,Khosla,Female,2002-11-21,"51/70, Bahri",Tirunelveli,Himachal Pradesh,793786,3632014405,mekhalabal@example.com,Insurance risk surveyor,910247,GB21WXKL6317902029207,4329399435667,7.0,39932.0,5704.571428571428,9981.0,6.0,535.0,0.0130841121495327,0.0438694112696883,22.0,2
48,Anita,Raval,Female,1999-02-15,"H.No. 800
Nagarajan Road",Ballia,Rajasthan,582602,9641015846,balhaar98@example.com,Animal nutritionist,1119824,GB74CDBF7159274692423,3560116120369715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0
49,Advay,Parekh,Male,2003-02-12,"17/51, Deol Marg",Secunderabad,Mizoram,102862,913324066892,qsidhu@example.org,Office manager,1319962,GB74XUAZ0959933920935,30082908165279,4.0,21647.0,5411.75,9002.0,4.0,653.0,0.006125574272588,0.0163997145372366,22.0,1
50,Ekbal,Ahluwalia,Female,1980-08-16,"H.No. 816, Sibal Chowk",Kumbakonam,Maharashtra,962303,3056936987,januja34@example.com,Furniture designer,760618,GB39EGOF4897960206245,30294628601869,5.0,26418.0,5283.6,9105.0,3.0,422.0,0.0118483412322274,0.0347322834852711,44.0,1
51,Manbir,Sachar,Male,1978-05-22,"H.No. 93
Prashad Zila",Karnal,Chhattisgarh,430817,913250884101,zaidchandra@example.org,"Programmer, applications",1009850,GB38FASA3311768020843,3581474194223895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0
52,Isaac,Pingle,Male,1993-04-13,"06/35, Patil",Aurangabad,Andhra Pradesh,535514,1826872370,zvaidya@example.net,Photographer,608039,GB77EZLL1197289738838,5457693058650697,1.0,4172.0,4172.0,4172.0,1.0,0.0,0.0,0.0068614019824386,31.0,0
53,Lajita,Thaker,Male,1985-04-05,"25
Ganguly Marg",Nashik,Karnataka,642354,8258651749,mgoel@example.com,Press photographer,213039,GB65ASLT4966671984443,3586350787724900,2.0,1570.0,785.0,1194.0,2.0,36.0,0.0555555555555555,0.0073695426658968,39.0,0
54,Hritik,Nair,Male,1976-06-13,"228
Sani Marg",Bangalore,Mizoram,385854,910511450086,vrajan@example.com,Cytogeneticist,1231407,GB07JDPM8463568800260,2702603157192079,8.0,42951.0,5368.875,9645.0,6.0,673.0,0.0118870728083209,0.0348796133203725,48.0,2
55,Daksh,Kota,Female,1991-04-09,"817, De",Ballia,Karnataka,10456,910403788736,patlayash@example.org,Field seismologist,392608,GB97MJWF6117568884608,2268630863750938,5.0,23550.0,4710.0,6972.0,5.0,644.0,0.0077639751552795,0.0599834949873665,33.0,2
56,Viraj,Sanghvi,Male,1981-07-05,"H.No. 65
Varma Ganj",Katni,Andhra Pradesh,609112,3015799193,yashawinidash@example.net,General practice doctor,1105307,GB58UNJE2744736761028,630454590872,6.0,28318.0,4719.666666666667,7031.0,4.0,541.0,0.011090573012939,0.0256200313578037,43.0,2
57,Jeet,Patil,Female,2002-07-21,"H.No. 26
Tank Ganj",Nizamabad,Karnataka,283385,403142530,virajde@example.org,Logistics and distribution manager,489141,GB16APFV4382692958602,2557292738378450,4.0,21898.0,5474.5,9005.0,3.0,488.0,0.0081967213114754,0.0447682774496515,22.0,1
58,Triya,Seshadri,Male,1983-01-06,"334, Chana Ganj",South Dumdum,Tamil Nadu,928447,916973980986,utara@example.com,Solicitor,1427376,GB31JIHP4484490318582,4130686516288,9.0,44958.0,4995.333333333333,8892.0,5.0,316.0,0.0284810126582278,0.0314969566533275,42.0,2
59,Ira,Sunder,Female,1984-11-07,"H.No. 21
Arora Ganj",Jamnagar,West Bengal,808987,3101309962,srinivasantristan@example.org,Tax adviser,1171190,GB29OGRP8221787581364,3548357614573381,6.0,48234.0,8039.0,9780.0,5.0,554.0,0.0108303249097472,0.0411837532765819,40.0,2
60,Ryan,Sethi,Male,1976-06-07,"75
Bath Marg",Danapur,Madhya Pradesh,882921,1583627808,pkonda@example.org,Mental health nurse,1674344,GB53GWVQ1783916910716,5536078190417392,4.0,24672.0,6168.0,8507.0,3.0,424.0,0.0094339622641509,0.0147353232071784,48.0,1
61,Hemang,Tank,Male,2001-09-28,"H.No. 615
Narayanan Zila",Thanjavur,Chhattisgarh,196577,1131252734,mukherjeefrederick@example.org,"Designer, exhibition/display",824751,GB19GHTF5612297056436,4551244500426794270,9.0,33667.0,3740.777777777778,9988.0,6.0,704.0,0.0127840909090909,0.0408208053097237,23.0,2
62,Hiral,Sengupta,Female,1980-07-26,"27
Chaudhry",Maheshtala,Sikkim,248038,918361429537,vnarayanan@example.org,Television production assistant,1268139,GB30DJOX4448246622958,6598625788575719,1.0,1954.0,1954.0,1954.0,1.0,0.0,0.0,0.0015408405545448,44.0,0
63,Kamya,Ganguly,Female,1976-06-15,"H.No. 705, Dutt Circle",Nagercoil,Uttar Pradesh,459294,7759443438,jeremiahtrivedi@example.org,Commercial art gallery manager,340454,GB51NRMX3597442910066,4085997031885640984,3.0,23769.0,7923.0,9943.0,3.0,331.0,0.0090634441087613,0.0698155991705193,48.0,1
64,Joshua,Dewan,Female,1983-10-13,"58/94, Banerjee Ganj",Raiganj,Maharashtra,488893,2153403935,kupadhyay@example.org,Operational investment banker,432949,GB90KIXT9172968211452,6524261049351739,7.0,40597.0,5799.571428571428,8481.0,5.0,592.0,0.0118243243243243,0.0937685501063635,41.0,2
65,Tanvi,Bhatia,Female,1989-08-30,"097
Minhas Circle",Farrukhabad,Punjab,206365,8876288676,onveerraju@example.net,Media planner,805058,GB59NGBY2168142157653,379678652880226,5.0,31702.0,6340.4,9801.0,5.0,534.0,0.0093632958801498,0.0393785292488243,35.0,2
66,Yutika,Bhakta,Female,2003-05-08,"H.No. 147, Prakash Circle",Agartala,Odisha,4728,4217955194,atidivan@example.org,Outdoor activities/education manager,560801,GB94RTOJ7698693608633,4917260857389617,9.0,30939.0,3437.6666666666665,8174.0,6.0,617.0,0.0145867098865478,0.0551693024798457,21.0,2
67,Ekantika,Viswanathan,Male,1977-06-19,"11/49
Aurora Circle",Sirsa,Himachal Pradesh,487162,9080474228,kamyamann@example.com,Private music teacher,993575,GB48NASV2365251889186,4215592345803224,3.0,16302.0,5434.0,8644.0,3.0,615.0,0.0048780487804878,0.0164074176584555,47.0,1
68,Bhavani,Saraf,Female,1982-11-27,"H.No. 257, Ganguly Marg",Imphal,Madhya Pradesh,736214,3354406358,advay50@example.net,"Production assistant, television",676148,GB04YEIK3188929496124,676123000033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0
69,Ati,Thaker,Female,1999-09-26,"08
Bera Circle",Jorhat,Jharkhand,715619,913914545897,daminikarnik@example.net,Theatre manager,1154801,GB60ICTS5523390096623,6512376765218682,6.0,29838.0,4973.0,9113.0,4.0,635.0,0.0094488188976377,0.02583821801332,25.0,2
70,Advik,Thaman,Female,1977-08-10,"H.No. 085, Bhasin Path",Jamnagar,West Bengal,258224,911574404986,finndasgupta@example.com,Physiotherapist,931210,GB74DZCY2168033415421,6520366618026861,5.0,33594.0,6718.8,9504.0,3.0,497.0,0.0100603621730382,0.0360756435175739,47.0,1
71,Arya,Dugar,Male,1999-09-16,"H.No. 92, Choudhry Ganj",Khandwa,Rajasthan,825889,7176749883,tripti72@example.org,Town planner,1714299,GB55BUJG2576130978832,180048229918371,3.0,21110.0,7036.666666666667,8822.0,3.0,25.0,0.12,0.0123140712326146,25.0,1
72,Naveen,Sachdev,Female,1986-01-31,"485, Vig Nagar",Tiruvottiyur,Uttarakhand,176926,911721133597,nicholasdewan@example.net,"Accountant, chartered",782669,GB41JWLU5512153338031,6586711402921770,1.0,4712.0,4712.0,4712.0,1.0,0.0,0.0,0.0060204249816972,39.0,1
73,Nathan,Desai,Male,1997-08-29,"H.No. 74, Bahri Zila",Jalandhar,Haryana,281569,4446569831,kandagunbir@example.com,Soil scientist,1841333,GB93RCZU3024963945339,2231260723280274,8.0,46185.0,5773.125,9851.0,6.0,479.0,0.0167014613778705,0.0250823723900022,27.0,2
74,Oni,Shere,Female,1997-12-29,"962
Arya",Navi Mumbai,Odisha,479721,917715384583,rohan57@example.net,Holiday representative,1900406,GB51MCVV6627450074013,180020784555385,8.0,32775.0,4096.875,9986.0,5.0,572.0,0.0139860139860139,0.0172463147348513,27.0,2
75,Bimala,Mander,Female,1984-08-30,"H.No. 177, Sawhney Path",Yamunanagar,Karnataka,720499,210357248,hemangininadig@example.net,"Surveyor, commercial/residential",352967,GB93NVIT3693270541499,3560982031153278,1.0,4432.0,4432.0,4432.0,1.0,0.0,0.0,0.0125564146223301,40.0,1
76,Karan,Nair,Male,1991-12-30,"62/607, Som Path",Jaunpur,Madhya Pradesh,713719,914432620841,ysridhar@example.org,Recycling officer,318266,GB53CJFH1482075841187,374048709536012,8.0,41582.0,5197.75,9779.0,5.0,615.0,0.0130081300813008,0.1306517190023439,33.0,2
77,Nirja,Pau,Male,1996-10-10,"31/929, Vohra Ganj",Bhubaneswar,Andhra Pradesh,648121,4182726002,jmadan@example.net,Armed forces logistics/support/administrative officer,1240105,GB07QMRL5513660338044,4583403135487805655,9.0,38514.0,4279.333333333333,8873.0,5.0,457.0,0.0196936542669584,0.0310570475887122,28.0,2
78,Yamini,Mital,Male,2003-11-14,"99/341, Padmanabhan",Patiala,Manipur,984222,9473480076,kamdaranirudh@example.com,"Radiographer, diagnostic",503676,GB97ZHYH7951559449847,6557713689311134,8.0,57928.0,7241.0,9991.0,6.0,501.0,0.0159680638722554,0.115010443221436,21.0,2
79,Hemal,Sekhon,Female,2003-07-09,"H.No. 64
Gole Marg",Ranchi,Odisha,935573,6822184603,anirudh97@example.org,"Engineer, broadcasting (operations)",1876344,GB42PHFI3852247264114,3584113337084205,7.0,32311.0,4615.857142857143,8851.0,4.0,478.0,0.0146443514644351,0.0172201899012121,21.0,2
80,Bachittar,Sood,Male,1997-05-15,"03/727
Kamdar Zila",Mysore,Odisha,542608,5829434586,gaurangguha@example.org,Multimedia programmer,1943946,GB43VSFP7498988652321,38240719780734,4.0,24213.0,6053.25,9846.0,3.0,385.0,0.0103896103896103,0.0124555929022719,27.0,1
81,Bachittar,Chandran,Female,1992-06-01,"H.No. 49
Oommen Marg",Berhampore,Rajasthan,835348,4323242679,chakrabartiwaida@example.org,"Programme researcher, broadcasting/film/video",1605308,GB05TXEX6681218657207,3544508574656509,2.0,6053.0,3026.5,5650.0,2.0,206.0,0.0097087378640776,0.0037706159814814,32.0,1
82,Unni,Devi,Female,1997-12-06,"932
Sodhi",Anantapuram,Tamil Nadu,643569,5144525454,rehaanchoudhry@example.com,English as a foreign language teacher,1174756,GB95RDHF9329766968982,3577324679535469,1.0,9036.0,9036.0,9036.0,1.0,0.0,0.0,0.007691810043958,27.0,1
83,Warinder,Setty,Female,1989-01-17,"08/285
Suresh Marg",Pune,Andhra Pradesh,944202,917680325416,vrinda77@example.org,Training and development officer,733871,GB77FGLT5189896497096,4315901100637763349,2.0,2484.0,1242.0,1627.0,1.0,195.0,0.0102564102564102,0.0033847910600091,36.0,0
84,Nidhi,Pall,Female,1995-02-21,"47/914
Keer Marg",Udupi,Himachal Pradesh,555814,2277941466,nayakrobert@example.net,Environmental consultant,1592717,GB37LVNI4393574570613,30542879158942,1.0,109.0,109.0,109.0,1.0,0.0,0.0,6.843651445925422e-05,30.0,0
85,Nitara,Nayak,Male,2004-12-03,"H.No. 43
Korpal Nagar",Kota,Meghalaya,348423,911751865614,ganeshcharles@example.org,"Research officer, political party",1267899,GB04CCWJ2399451169225,4774391553006163,7.0,31491.0,4498.714285714285,7535.0,6.0,521.0,0.0134357005758157,0.0248371518551556,20.0,2
86,Nidra,Kara,Male,1996-12-10,"H.No. 36, Manda Marg",Nagpur,Maharashtra,217124,3680120655,balhaarkade@example.org,"Buyer, industrial",1540926,GB02BDKW9129508374950,4577334319939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0
87,Bimala,Bala,Female,2001-11-25,"919
Mutti Marg",Bidhannagar,Meghalaya,238896,3647492186,watikavig@example.org,Wellsite geologist,1933054,GB07LHWN7044309418774,4954392908591836,8.0,47011.0,5876.375,9872.0,6.0,669.0,0.0119581464872944,0.0243195482381764,23.0,2
88,Udyati,Dash,Female,1995-01-14,"25/92
Garde Nagar",Kota,Nagaland,812305,3865884786,sathvikpandit@example.org,Agricultural consultant,564583,GB26QULO7438103054024,3596866787795663,1.0,4631.0,4631.0,4631.0,1.0,0.0,0.0,0.0082025140679049,30.0,1
89,Damini,Kulkarni,Male,1981-09-22,"130
Menon Circle",Thanjavur,Goa,511768,913249319750,mannansuhani@example.com,Freight forwarder,628397,GB74PXGN8913888704414,3589578514809316,3.0,25193.0,8397.666666666666,9854.0,3.0,415.0,0.0072289156626506,0.0400908979514542,43.0,1
90,Wriddhish,Ghose,Male,2004-10-22,"75/88
Nadkarni Street",Hindupur,Chhattisgarh,357207,2830839946,ekalinga29@example.net,Hydrographic surveyor,1577495,GB71XDPY6372190871357,4144574866275459,4.0,23189.0,5797.25,8737.0,3.0,361.0,0.0110803324099723,0.0146998881137499,20.0,1
91,Sarthak,Savant,Male,1978-06-07,"H.No. 17, Sandal Nagar",Orai,Odisha,202059,4285895978,mittaltriya@example.org,"Nurse, learning disability",1571883,GB44SHQL4538203013886,4682722304159260912,6.0,25618.0,4269.666666666667,6748.0,4.0,519.0,0.0115606936416184,0.0162976506521159,46.0,1
92,Ridhi,Swamy,Female,1976-03-27,"H.No. 315, Dasgupta Circle",Kurnool,Sikkim,272473,918233781268,ayaansamra@example.org,Warden/ranger,269709,GB92ABLE7230599393271,340462099186737,4.0,9915.0,2478.75,7393.0,3.0,586.0,0.0068259385665529,0.0367618433200226,48.0,1
