customer_id,first_name,last_name,gender,birthdate,address,city,state,zip_code,phone_number,email,occupation,annual_income,account_number,card_number,total_transactions,total_amount_spent,average_transaction_amount,max_transaction_amount,unique_transaction_descriptions,days_since_first_transaction,transaction_frequency,transaction_amount_to_income_ratio,age
15,Yochana,Prabhakar,Male,2001-12-15,"90/988
Char Street",Panchkula,West Bengal,969504,3444909923,simonswaminathan@example.net,Clinical molecular geneticist,1240828,GB36NXCI3141260645245,6011054800606858,4.0,9982.0,2495.5,5898.0,2.0,362.0,0.011049723756906077,0.008044628264352514,23.0
16,Dev,Oza,Male,1975-07-12,"23, Maharaj",Ramgarh,Manipur,215439,7885027717,borahchaitaly@example.net,Stage manager,1240643,GB20ILNP0377722990137,4699367999628945599,2.0,9489.0,4744.5,5561.0,2.0,30.0,0.06666666666666667,0.007648453261736052,49.0
17,Qasim,Acharya,Female,1979-12-09,"11/943, Sarin Nagar",Haridwar,Telangana,348997,9741471645,iram@example.com,Control and instrumentation engineer,583847,GB94PVXB7170626337552,3594098622024651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0
18,Chaitanya,Buch,Male,1994-07-19,"H.No. 57, Naik Nagar",Kamarhati,Rajasthan,829837,229101751,charanmurty@example.org,Community education officer,1284769,GB33MVGB1880794379863,30394465766740,3.0,18968.0,6322.666666666667,8472.0,3.0,149.0,0.020134228187919462,0.01476374352120887,30.0
19,Idika,Ramesh,Male,1979-12-12,"31/649, Edwin Zila",Dhule,Nagaland,619668,914358279731,fiyazkant@example.com,Software engineer,1476742,GB75XZUH0240132193371,4741239916267570914,7.0,32807.0,4686.714285714285,7988.0,6.0,537.0,0.01303538175046555,0.022215796665903727,45.0
20,Rachit,Atwal,Female,1993-08-08,"87
Kaur",Giridih,Punjab,978228,5530021448,dipta89@example.org,"Engineer, communications",1464777,GB91KGXD4408559271958,675959166017,9.0,51482.0,5720.222222222223,9225.0,6.0,614.0,0.014657980456026058,0.03514664689573908,31.0
21,Daksh,Guha,Female,1982-09-12,"35/080, Thaman",Ongole,Uttarakhand,8798,1971092530,ishitakulkarni@example.com,"Surveyor, building",1997609,GB26AVXI1215520921297,30498887375095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0
22,Sai,Sura,Female,1990-08-10,"64
Chaudhari Path",Kolhapur,Jharkhand,22664,911232753318,upandit@example.net,Mental health nurse,1180327,GB65OPCZ0071071475945,4608872039170162,2.0,8448.0,4224.0,7405.0,2.0,537.0,0.0037243947858473,0.007157338601929804,34.0
23,Yashawini,Chokshi,Male,2002-12-05,"68/225
Bandi Ganj",Visakhapatnam,Gujarat,296330,1321152237,nitesh52@example.org,Health physicist,799332,GB87TCIQ5053668445128,30527440988737,6.0,39040.0,6506.666666666667,9228.0,5.0,390.0,0.015384615384615385,0.048840782053014266,22.0
24,Upma,Andra,Female,1978-03-19,"H.No. 666, Tank Marg",Haldia,Assam,10419,3988028952,pkanda@example.com,"Librarian, public",1827231,GB45NMNW1519010786040,3540416537284399,9.0,45670.0,5074.444444444444,9991.0,5.0,593.0,0.01517706576728499,0.024994103099170276,46.0
25,Naveen,Gupta,Female,1981-10-10,"H.No. 25, Walla",Pudukkottai,Haryana,441066,912481611319,sachdevkamya@example.com,"Engineer, manufacturing systems",977792,GB57GQWG0103080874657,3528825314877942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0
26,Advik,Kashyap,Male,1999-10-09,"H.No. 036, Khare Zila",Suryapet,Gujarat,571354,3305984363,devansaksham@example.org,Animal technologist,1188624,GB36MSHC7857073169243,180035880944275,7.0,22020.0,3145.714285714286,7695.0,3.0,627.0,0.011164274322169059,0.018525622905140735,25.0
27,Ekantika,Natt,Male,1984-01-26,"H.No. 684, Choudhry Ganj",Tinsukia,Goa,618834,8983283380,orattan@example.com,"Teacher, adult education",796687,GB16AQRC9925019920714,4785418009173,8.0,41725.0,5215.625,8766.0,8.0,508.0,0.015748031496062992,0.05237314026713126,41.0
28,Yash,Viswanathan,Female,1975-07-30,"H.No. 77, Keer Marg",Mahbubnagar,Odisha,567319,635756879,pandeyisha@example.net,Planning and development surveyor,1855754,GB14ZXTL2533247781468,4717213368185885,3.0,14041.0,4680.333333333333,6902.0,3.0,478.0,0.006276150627615063,0.0075661968127241006,49.0
29,Vanya,Nigam,Male,1981-06-19,"21/212, Dube",Bellary,Maharashtra,637445,918702143371,boaseaahana@example.org,Soil scientist,1737658,GB86LLGV4270688481610,3556598070406025,6.0,29340.0,4890.0,9342.0,5.0,293.0,0.020477815699658702,0.016884795512120337,43.0
30,Barkha,Ghose,Female,1989-02-27,"75, Gokhale Ganj",Gandhinagar,Karnataka,141578,917372271515,gray@example.org,"Therapist, nutritional",1337678,GB72GDMO0742873441940,6011358131976090,8.0,38440.0,4805.0,9463.0,6.0,673.0,0.01188707280832095,0.028736362562589803,35.0
31,Gaurav,Chakrabarti,Male,1986-11-02,"H.No. 28
Dara",Tezpur,Uttar Pradesh,450770,914975134580,advikaluthra@example.com,"Psychologist, sport and exercise",1769122,GB62HMLY9707588534675,675936091551,2.0,11505.0,5752.5,6013.0,2.0,639.0,0.003129890453834116,0.006503225893974525,38.0
32,Qadim,Saini,Female,1978-07-18,"H.No. 18
Sabharwal Road",Muzaffarpur,Manipur,98261,4068355577,kdass@example.net,Graphic designer,1277168,GB31YBMQ4565764923860,349477520783887,5.0,27836.0,5567.2,9321.0,4.0,450.0,0.011111111111111112,0.021795096651341092,46.0
33,Ayushman,Nanda,Female,1976-01-10,"20
Pandya Chowk",Amroha,Uttarakhand,902621,6462119471,ekta42@example.net,Armed forces logistics/support/administrative officer,957165,GB56TCRP8960836886818,38317618137313,2.0,13617.0,6808.5,8795.0,2.0,168.0,0.011904761904761904,0.014226387299995298,49.0
34,Yauvani,Savant,Female,1977-04-24,"77
Chakrabarti Circle",Firozabad,Mizoram,72729,2456776396,ranbirjain@example.com,"Surveyor, quantity",1977391,GB27NDVR8869586950679,3584390624807130,1.0,4188.0,4188.0,4188.0,1.0,0.0,0.0,0.002117942278487158,47.0
35,Christopher,Dara,Female,1999-05-31,"H.No. 49
Khosla Zila",Amravati,Rajasthan,9139,916454192999,rushil43@example.org,Astronomer,1812053,GB62KJRT9466389216370,4185340833977886,9.0,39366.0,4374.0,8788.0,7.0,649.0,0.01386748844375963,0.02172453013239679,25.0
36,Harini,Sarkar,Male,2003-03-30,"39/870
Madan Ganj",Kota,Bihar,615380,5480025880,ppuri@example.org,Hydrographic surveyor,1500331,GB06LCHS9700406910017,502048422716,3.0,11486.0,3828.6666666666665,5773.0,3.0,244.0,0.012295081967213115,0.0076556439878933385,21.0
37,Zashil,Singh,Female,1995-05-17,"07, Narasimhan Chowk",Secunderabad,Manipur,839289,911177428296,chandran33@example.com,Media planner,1314640,GB92WLCO0381711346940,4745460505838025473,9.0,37051.0,4116.777777777777,9413.0,5.0,618.0,0.014563106796116505,0.028183381001643037,29.0
38,Libni,Khalsa,Female,1987-11-12,"512, Kapoor Path",Hazaribagh,Nagaland,259644,914079475951,tanveer50@example.org,Civil Service administrator,1661499,GB37JZYF8255233950695,4388488073185,7.0,35446.0,5063.714285714285,8728.0,6.0,630.0,0.011111111111111112,0.0213337474172419,37.0
39,Harish,Parsa,Female,1987-02-04,"H.No. 993
Naidu Marg",Bokaro,Bihar,25777,910148724155,chandrannathan@example.org,"Pharmacist, community",598492,GB64BKZW3785604227435,4299708586172512,7.0,31685.0,4526.428571428572,8219.0,5.0,477.0,0.014675052410901468,0.05294139270032014,38.0
40,Chaitaly,Korpal,Female,1975-03-06,"19
Raju Street",Erode,Meghalaya,344411,915833205458,khareyashvi@example.com,"Sales professional, IT",1352806,GB58CSOT5553778413503,502039023184,9.0,29316.0,3257.3333333333335,6392.0,5.0,356.0,0.025280898876404494,0.021670512992993822,49.0
41,Odika,Manda,Male,1993-09-29,"67, Swaminathan Road",Meerut,Himachal Pradesh,394635,917445312922,anamika20@example.net,Firefighter,546097,GB22SCDV1265525963626,3534636688244391,1.0,6633.0,6633.0,6633.0,1.0,0.0,0.0,0.01214619380805974,31.0
42,Laksh,Kade,Female,1993-08-01,"425
Kata Zila",Kishanganj,Assam,532227,2586805696,niteshwalia@example.org,Theatre stage manager,555248,GB90MZSY4578508615442,180071221418646,9.0,53223.0,5913.666666666667,9761.0,6.0,689.0,0.013062409288824383,0.09585446503184163,31.0
43,Harini,Nagar,Male,1994-01-18,"H.No. 02, Iyer",Hapur,Andhra Pradesh,728922,910508505983,devanshdixit@example.org,Advertising copywriter,393650,GB41YUYG8792341604710,4117432429874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0
44,Zilmil,Borra,Female,1979-06-24,"09/25
Vala Circle",Bhagalpur,Assam,207099,914751829134,manan89@example.com,Fitness centre manager,1212599,GB20ALRY2425161472880,4097541535710239,5.0,27088.0,5417.6,9489.0,3.0,650.0,0.007692307692307693,0.022338794605636324,45.0
45,Veer,Chatterjee,Male,1992-11-05,"50/984
Patel Street",Shimoga,Madhya Pradesh,40834,9936164717,klad@example.com,Public house manager,838070,GB27OJCY7181259919435,377971525552219,3.0,13611.0,4537.0,6559.0,3.0,462.0,0.006493506493506494,0.016240886799432027,32.0
46,Yash,Prashad,Female,1994-01-11,"26/789
Dugar",Alappuzha,Himachal Pradesh,322814,919085289481,lankakaran@example.com,Adult nurse,1432079,GB23TYKH2774219168438,4139458535009654,3.0,19524.0,6508.0,8811.0,3.0,273.0,0.01098901098901099,0.013633326094440321,31.0
47,Ekalinga,Rana,Male,1986-05-15,"383
Chaudry Marg",Srinagar,Meghalaya,614687,915025248914,kulkarninicholas@example.net,Media planner,1950905,GB14WJWS5855911623872,3581708173422352,9.0,53241.0,5915.666666666667,8561.0,4.0,605.0,0.01487603305785124,0.027290411373183214,38.0
48,Anjali,Gera,Female,1995-04-13,"H.No. 79, Sankar Road",Raipur,Gujarat,20841,6560944692,tailoradweta@example.com,Clinical research associate,1148170,GB02HVFG5899337063721,4309789014950909,7.0,42949.0,6135.571428571428,9991.0,5.0,591.0,0.011844331641285956,0.03740648161857565,29.0
49,Zehaan,Narain,Female,1985-03-04,"59
Ahuja Ganj",Bhind,Manipur,337750,7415525398,hitesh89@example.com,Human resources officer,1821694,GB25LYSU1107616756463,4626167796901,8.0,41933.0,5241.625,9403.0,6.0,715.0,0.011188811188811189,0.02301868480655917,39.0
50,Sudiksha,Sahota,Male,1985-09-28,"H.No. 88, Venkatesh Zila",Alwar,Chhattisgarh,57838,911447963002,xavier87@example.net,Training and development officer,1096030,GB89DHOE2217328184222,180040143231536,9.0,41508.0,4612.0,7240.0,6.0,697.0,0.01291248206599713,0.03787122615256882,39.0
51,Jagat,Jayaraman,Male,1979-07-07,"887
Som Ganj",Kochi,Odisha,397361,1355162971,iryawalia@example.com,"Accountant, chartered",493462,GB72CMCS7948058333614,4608801351079468140,6.0,31535.0,5255.833333333333,8775.0,5.0,362.0,0.016574585635359115,0.0639056300181169,45.0
52,Gayathri,Ranganathan,Female,1993-10-09,"H.No. 95, Chaudhary Chowk",Indore,Odisha,583698,7365674293,hchauhan@example.org,Chartered certified accountant,1861056,GB87YUJH7869214331863,4955082660249033,9.0,49304.0,5478.222222222223,8880.0,6.0,643.0,0.013996889580093312,0.026492485986450702,31.0
53,Amrita,Chanda,Female,1987-09-16,"03/94
Ranganathan",Bilaspur,Uttarakhand,123674,4658706178,bajajdipta@example.com,Hospital doctor,1700904,GB45HPOS7727791980102,6011681352424478,9.0,42371.0,4707.888888888889,9449.0,4.0,562.0,0.01601423487544484,0.02491087092510806,37.0
54,Zayyan,Rajan,Male,1993-08-31,"H.No. 761, Varughese Road",Kamarhati,Himachal Pradesh,583931,910076387815,deepabhakta@example.net,Field trials officer,417200,GB25GFTA7573962989283,501872497273,6.0,28793.0,4798.833333333333,9054.0,6.0,640.0,0.009375,0.06901486097794822,31.0
55,Girik,Rai,Male,1988-03-06,"H.No. 449
Rana Road",Gulbarga,West Bengal,31861,8415570468,comarveda@example.net,"Engineer, electronics",573093,GB56ZZIC9374854410160,4109934048009239,4.0,24560.0,6140.0,8638.0,4.0,353.0,0.0113314447592068,0.04285517359311665,36.0
56,Daniel,Bhalla,Female,1992-11-09,"71/072, Bandi Street",Surendranagar Dudhrej,Goa,426843,917767956988,gagan38@example.com,Contracting civil engineer,1524625,GB25XSWK6657337317852,2512454128167455,1.0,7173.0,7173.0,7173.0,1.0,0.0,0.0,0.00470476346642617,32.0
57,Vyanjana,Yohannan,Female,1996-04-01,"367, Cheema Nagar",Aizawl,Sikkim,814521,2597887915,bhavna84@example.com,Television production assistant,863505,GB29CQYY9243514495937,4804092715532443,4.0,22031.0,5507.75,8950.0,4.0,334.0,0.011976047904191617,0.025513459678866944,28.0
58,Ayaan,Thaman,Male,2002-07-11,"12/02, Natarajan",Patiala,Goa,398415,6992009272,gaurikaupadhyay@example.com,"Scientist, research (physical sciences)",505971,GB92SJKO6434841358184,584987996900,7.0,50707.0,7243.857142857143,9751.0,5.0,699.0,0.010014306151645207,0.10021720612446168,22.0
59,Advay,Cherian,Female,1983-05-04,"13/41, Rajan Street",Belgaum,Mizoram,218612,9159682581,woza@example.org,Leisure centre manager,1706907,GB05BTKZ6907477149928,4196386433887271046,1.0,5056.0,5056.0,5056.0,1.0,0.0,0.0,0.00296208287856339,41.0
60,Hardik,Rajagopal,Female,2001-01-22,"H.No. 182, Sampath Zila",Dharmavaram,Arunachal Pradesh,168875,7818334393,dsanghvi@example.net,"Therapist, speech and language",1832107,GB66GJGL9570471640650,5219745925115103,8.0,27926.0,3490.75,7136.0,5.0,674.0,0.011869436201780416,0.015242559522997292,24.0
61,Harinakshi,Narula,Female,1993-12-07,"18/599
Raju Zila",Bhavnagar,Tamil Nadu,528778,3505868587,ghari@example.com,Social worker,1032492,GB69NVYM3094643869965,6519204931901085,7.0,34379.0,4911.285714285715,8758.0,6.0,598.0,0.011705685618729096,0.033297110292379986,31.0
62,Hitesh,Chawla,Female,1991-07-01,"46/292, Sem Road",Kanpur,Meghalaya,258344,914803114929,jackpatel@example.net,"Surveyor, commercial/residential",1569268,GB73DEGS2695856603182,503833004263,8.0,32741.0,4092.625,9160.0,5.0,685.0,0.01167883211678832,0.020863867739608532,33.0
63,Turvi,Barad,Male,2001-11-04,"31/147, Chahal",Bongaigaon,Jharkhand,15157,913006679499,manbirpandya@example.net,"Loss adjuster, chartered",1376701,GB82WVHX5804484039408,4954661691271198,6.0,14121.0,2353.5,4211.0,5.0,498.0,0.012048192771084338,0.010257129180555545,23.0
64,Chatresh,Kalita,Male,2003-08-14,"H.No. 510, Din Circle",Bidar,Jharkhand,99664,916031186286,amairalata@example.net,Curator,956711,GB58RUCM0644442878467,3568784229112823,2.0,11464.0,5732.0,7537.0,2.0,129.0,0.015503875968992248,0.011982719964545197,21.0
65,Mohammed,Mital,Male,1981-01-18,"25
Sawhney Circle",Shimoga,Chhattisgarh,17661,483263918,routneel@example.net,"Surveyor, rural practice",1807827,GB38XDRK7556558941092,3556961340414684,3.0,16773.0,5591.0,8050.0,3.0,298.0,0.010067114093959731,0.009277989542140925,44.0
66,Eiravati,Bajaj,Female,1983-06-30,"59/46, Varma Circle",Mira-Bhayandar,Gujarat,865211,4702956520,chandani61@example.net,Industrial/product designer,1913143,GB13BBPC8815990553664,349586184196176,7.0,31538.0,4505.428571428572,9115.0,4.0,682.0,0.010263929618768328,0.01648491513702844,41.0
67,Saksham,Sha,Male,1995-10-17,"591, Bhavsar Chowk",Parbhani,Kerala,21981,1645352965,dasguptawarhi@example.org,Interpreter,1762919,GB59VMBT5372699121465,4720107885252,8.0,63431.0,7928.875,9576.0,6.0,574.0,0.013937282229965157,0.035980666156527896,29.0
68,Arunima,Rai,Male,1975-12-19,"62, Dash",Panipat,Haryana,966667,4720358707,pbhardwaj@example.com,Town planner,415182,GB68KMNJ9465305618226,6011340041186366,3.0,4167.0,1389.0,2849.0,2.0,199.0,0.01507537688442211,0.010036562278711504,49.0
69,Logan,Kara,Female,1995-01-07,"922
Bala Circle",Danapur,Bihar,578851,6522484015,menonzayan@example.net,Gaffer,1549709,GB71SFVZ1029092720545,213197539937554,2.0,4307.0,2153.5,3665.0,2.0,216.0,0.009259259259259259,0.0027792314557120077,30.0
70,Amara,Goda,Female,2000-04-26,"H.No. 02, Prakash Street",Jalandhar,Odisha,465316,7374517186,nagijoshua@example.org,"Engineer, land",1236312,GB77OBOQ8949337137334,4904686792770328,4.0,13887.0,3471.75,6269.0,3.0,455.0,0.008791208791208791,0.01123260147923825,24.0
71,Irya,Mangat,Female,1979-05-02,"50/36
Dada Path",Parbhani,Mizoram,251036,3258916088,choudharydayamai@example.net,Prison officer,373880,GB46UIAH1784234553945,38468248216017,1.0,6959.0,6959.0,6959.0,1.0,0.0,0.0,0.018612923932812667,45.0
72,Lakshmi,Rattan,Male,1986-04-01,"817, Krish Ganj",Agartala,Kerala,482984,915385802586,xaviernaidu@example.org,Contractor,356476,GB32ZFZU0802755197516,30169970270051,5.0,23666.0,4733.2,8609.0,3.0,581.0,0.008605851979345954,0.06638876109471606,38.0
73,Gautam,Balan,Female,2002-04-04,"48/28
Gill Chowk",Deoghar,Andhra Pradesh,960111,6215512438,abhaarya@example.org,Chief Operating Officer,1497683,GB98SYCX8119459600106,3537793688412408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0
74,Tamanna,Mutti,Male,1997-10-31,"H.No. 77, Yogi Chowk",Durg,Bihar,237788,919266281480,darpandhaliwal@example.net,Geographical information systems officer,761272,GB52NHYO0625169973725,6523455930783494,5.0,30989.0,6197.8,7807.0,5.0,663.0,0.007541478129713424,0.040706869555165566,27.0
75,Jai,Bhat,Female,1977-07-01,"31/58, Karpe Path",Ballia,Bihar,258300,918252743195,xrao@example.com,"Librarian, academic",1372483,GB46CUYL7250661046434,581858323941,2.0,6990.0,3495.0,5164.0,2.0,120.0,0.016666666666666666,0.00509295925705455,47.0
76,Vamakshi,Narasimhan,Female,1987-04-20,"02/725
Choudhary Path",Sultan Pur Majra,Telangana,28606,581447303,ubansal@example.net,Geophysical data processor,558487,GB15JFGG8916136604931,3512355402060506,6.0,37643.0,6273.833333333333,9747.0,4.0,662.0,0.00906344410876133,0.0674017479368365,37.0
77,Diya,Grover,Female,1989-09-09,"99/64, Rajan Path",Kirari Suleman Nagar,Gujarat,395456,5341596823,maanas88@example.com,Armed forces operational officer,200032,GB34NHFD4892692156949,4583698087707732256,5.0,21861.0,4372.2,8133.0,5.0,625.0,0.008,0.10928751399776036,35.0
78,Mugdha,Ratta,Male,1978-08-19,"21/606
Chaudry Road",South Dumdum,Tamil Nadu,407008,5755463422,maanavwali@example.com,Chiropodist,572318,GB53TCAC3579237604384,3537562096091256,2.0,6854.0,3427.0,3538.0,2.0,54.0,0.037037037037037035,0.011975859574572178,46.0
79,Pooja,Trivedi,Male,1991-05-15,"H.No. 88, Chahal Ganj",Kochi,Gujarat,457165,919847539582,odikadugar@example.net,Garment/textile technologist,205272,GB40HKLV9617442328212,376887657401333,9.0,39645.0,4405.0,9629.0,6.0,631.0,0.014263074484944533,0.19313398807435989,33.0
80,Qadim,Om,Male,1979-07-14,"725
Chahal Road",Chennai,Sikkim,299893,6707226411,dbir@example.com,"Administrator, Civil Service",481986,GB32WAYC4923869274973,36091177443402,3.0,13987.0,4662.333333333333,6151.0,3.0,175.0,0.017142857142857144,0.029019515089649908,45.0
81,Harini,Mutti,Male,1998-01-23,"80
Bobal",Kolkata,Rajasthan,125801,7394749343,nitesh80@example.org,Purchasing manager,1633608,GB68YIAV3934706126181,502040431517,1.0,4229.0,4229.0,4229.0,1.0,0.0,0.0,0.002588748341095293,27.0
82,Mohammed,Deol,Male,1991-05-08,"346
Bora Nagar",Sri Ganganagar,Karnataka,587028,919159751453,kchawla@example.com,Civil Service fast streamer,439021,GB17VXQV2730867074858,30257185943545,4.0,10829.0,2707.25,7011.0,4.0,413.0,0.009685230024213076,0.024666246033788815,33.0
83,Yamini,Lad,Male,2003-08-28,"72/592
Hegde Nagar",Bhiwandi,Jharkhand,879373,346683923,yastisingh@example.com,Physiotherapist,840295,GB37IHUR8661989134196,6011541388973148,3.0,18111.0,6037.0,8700.0,2.0,523.0,0.0057361376673040155,0.021553145026449044,21.0
84,Aadhya,Kuruvilla,Male,1984-07-16,"10, Kota Ganj",Amaravati,Goa,966665,915195208474,bhavika49@example.com,Patent attorney,909958,GB47UMLI3198808966931,676103679962,2.0,13633.0,6816.5,8160.0,2.0,393.0,0.005089058524173028,0.014982010158710622,40.0
85,Joshua,Reddy,Male,1987-02-25,"H.No. 45
Sandal Circle",Ratlam,Haryana,609722,916549841253,pbalay@example.net,Higher education lecturer,1770359,GB95ZOSZ5273219478166,4348700918132422,2.0,9263.0,4631.5,9148.0,2.0,442.0,0.004524886877828055,0.00523227209848398,37.0
86,Reva,Wason,Female,1996-04-06,"374, Oak",Alwar,Meghalaya,978335,917117774,anmol73@example.org,Data processing manager,437733,GB12EOZR0478318117349,4486056274636809,9.0,32828.0,3647.5555555555557,7344.0,6.0,446.0,0.020179372197309416,0.0749954881171856,28.0
87,Anmol,Bava,Female,1983-04-30,"H.No. 88
Chahal Chowk",Saharsa,Gujarat,333854,912250120117,wishi57@example.com,Oncologist,343241,GB93ZQMZ1956496289494,6523373819030913,1.0,5091.0,5091.0,5091.0,1.0,0.0,0.0,0.014832144178580064,41.0
88,Avni,Lal,Male,2002-06-16,"H.No. 39, Kar Street",Shahjahanpur,Goa,342622,9015600950,talwarvedhika@example.com,"Surveyor, building control",928421,GB37VVDH9249973550716,4930695244023813254,9.0,42830.0,4758.888888888889,9523.0,7.0,577.0,0.01559792027729636,0.04613208878299823,22.0
89,Mugdha,Nazareth,Male,1994-01-12,"H.No. 48
Muni Path",Kamarhati,Manipur,302299,5098328395,gaderohan@example.net,Geophysicist/field seismologist,1677321,GB98LJTM3230679455513,6591405260504694,5.0,30998.0,6199.6,8384.0,4.0,556.0,0.008992805755395683,0.018480660529499125,31.0
90,Chaman,Nagarajan,Female,1978-10-03,"659
Chandran Nagar",Bhubaneswar,West Bengal,691058,5055075353,kdave@example.net,Fisheries officer,472157,GB91ZYUG9218578406786,180037054839794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0
91,Reva,Prabhu,Male,1986-04-16,"042, Agrawal Street",Ludhiana,Manipur,87588,1598287402,gpandey@example.net,Sub,1311875,GB88TYBP1791650380137,349554547604211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0
92,Frado,Mandal,Male,1983-06-24,"433
Magar Circle",Panvel,Haryana,171682,2082998595,kiaandhillon@example.org,Health and safety adviser,865733,GB80SJWB9145927198860,371745894288084,9.0,45606.0,5067.333333333333,8739.0,5.0,651.0,0.013824884792626729,0.05267905924805916,41.0
93,Amara,Vala,Male,2003-06-06,"H.No. 159, Bajwa Nagar",Kamarhati,Chhattisgarh,994237,910902495353,liam91@example.com,Retail buyer,1934389,GB68JTXW5744623813733,5596652402604919,1.0,8594.0,8594.0,8594.0,1.0,0.0,0.0,0.0044427465209944846,21.0
